"Well","Cycle","Time","Object Index","Area [um^2]","Area [%]","Perimeter [um]","Form factor","Extent","Compactness","Eccentricity","Characteristic RI","Characteristic dry mass density [pg / um^3]","Dry mass [pg]","Granularity"
"A1",5,"00:15:55",4,1154.6,1.90174,252.477,0.227613,0.358879,4.39341,0.921723,1.3423,0.0614997,227.224,13.7423
"A1",5,"00:15:55",5,1069.36,1.76134,290.121,0.159653,0.568857,6.2636,0.953106,1.34365,0.0682685,233.611,12.735
"A1",5,"00:15:55",6,459.72,0.757202,160.508,0.224237,0.506746,4.45957,0.651808,1.34686,0.0843086,124.027,10.111
"A1",5,"00:15:55",7,438.2,0.721757,162.618,0.20823,0.341554,4.80239,0.909149,1.35022,0.101083,141.743,8.09734
"A1",5,"00:15:55",8,530.32,0.873487,196.767,0.172126,0.416264,5.80971,0.807236,1.34542,0.0771057,130.85,14.1526
"A1",5,"00:15:55",9,346.36,0.570488,117.15,0.317143,0.532043,3.15315,0.818642,1.35235,0.111768,123.878,8.83957
"A1",6,"00:18:55",1,608.72,1.00262,222.098,0.155074,0.408121,6.44854,0.866641,1.34319,0.0659393,128.444,12.7103
"A1",6,"00:18:55",2,929.36,1.53074,199.464,0.29354,0.68063,3.4067,0.870104,1.34227,0.0613284,182.388,12.5149
"A1",6,"00:18:55",3,680.72,1.12121,162.653,0.323337,0.634361,3.09275,0.645149,1.34286,0.0643241,140.117,16.5237
"A1",6,"00:18:55",4,1070.8,1.76371,259.531,0.199774,0.357376,5.00566,0.930996,1.34249,0.0624521,213.996,13.3392
"A1",6,"00:18:55",5,1065.28,1.75462,313.793,0.135952,0.529421,7.35552,0.95215,1.34372,0.0685842,233.796,12.7172
"A1",6,"00:18:55",6,469.6,0.773476,152.866,0.252532,0.555083,3.95989,0.475655,1.34603,0.0801518,120.446,10.6609
"A1",6,"00:18:55",7,444.16,0.731574,156.97,0.226525,0.359283,4.41452,0.919755,1.35005,0.10024,142.473,7.72838
"A1",6,"00:18:55",8,391.4,0.644673,161.956,0.187516,0.46147,5.33288,0.782231,1.35116,0.105816,132.533,7.48873
"A1",6,"00:18:55",9,537.04,0.884556,151.142,0.295426,0.569284,3.38494,0.756282,1.34503,0.0751638,129.171,13.2004
"A1",7,"00:21:55",1,593.8,0.978045,194.226,0.197805,0.412361,5.05549,0.859568,1.34331,0.0665706,126.495,12.5995
"A1",7,"00:21:55",2,929.2,1.53048,194.401,0.308975,0.685979,3.23651,0.872027,1.34214,0.060722,180.553,12.4369
"A1",7,"00:21:55",3,695.72,1.14592,159.874,0.342049,0.638416,2.92356,0.705947,1.34278,0.063912,142.287,15.9357
"A1",7,"00:21:55",4,1011.68,1.66633,274.922,0.168203,0.345755,5.9452,0.931816,1.34277,0.0638689,206.768,13.6113
